idx,x,y,line,s_mm,pmod,sigma,w,d,asym,pinned
122,5.0,4.0,40,405.0,0.6320708771902068,0.00020378649238369807,0.00016438827514648438,6.383487701416016e-05,-2.0972633361816513e-05,
123,10.0,4.0,40,410.0,0.7396635331551645,0.00021010259735610045,0.00016379981040954596,6.337604522705078e-05,-8.433437347412157e-06,
125,5.0,4.1,41,415.0,0.6320708771902068,0.00020378649238369807,0.00016438961029052734,6.383716583251953e-05,2.097530364990243e-05,
126,0.0,4.1,41,420.0,0.7396635331551645,0.00021010259735610045,0.00016380019187927242,6.337751388549802e-05,8.43420028686509e-06,
128,5.0,4.2,42,425.0,0.6320708771902068,0.00020378649238369807,0.00016439023017883296,6.383716583251953e-05,-2.0976543426513665e-05,
129,10.0,4.2,42,430.0,0.7396635331551645,0.00021010259735610045,0.00016380090713500977,6.337821960449217e-05,-8.435630798339774e-06,
131,5.0,4.3,43,435.0,0.6320708771902068,0.00020378649238369807,0.00016439208984375003,6.383943557739256e-05,2.0975494384765665e-05,
132,0.0,4.3,43,440.0,0.7396635331551645,0.00021010259735610045,0.00016380219459533692,6.337821960449217e-05,8.434772491455007e-06,
134,5.0,4.4,44,445.0,0.6320708771902068,0.00020378649238369807,0.000164393424987793,6.383943557739256e-05,-2.0978164672851582e-05,
135,10.0,4.4,44,450.0,0.7396635331551645,0.00021010259735610045,0.00016380219459533692,6.337968826293944e-05,-8.434772491455007e-06,
137,5.0,4.5,45,455.0,0.6320708771902068,0.00020378649238369807,0.000164393424987793,6.383943557739256e-05,2.0978164672851582e-05,
138,0.0,4.5,45,460.0,0.7396635331551645,0.00021010259735610045,0.00016380286216735845,6.337968826293944e-05,8.436107635498074e-06,
140,5.0,4.6,46,465.0,0.6320708771902068,0.00020378649238369807,0.00016439476013183595,6.384120941162107e-05,-2.09808349609375e-05,
141,10.0,4.6,46,470.0,0.7396635331551645,0.00021010259735610045,0.00016380329132080083,6.338037490844726e-05,-8.436965942382841e-06,
143,5.0,4.7,47,475.0,0.6320708771902068,0.00020378649238369807,0.00016439585685729975,6.384174346923827e-05,2.0978641510009883e-05,
144,0.0,4.7,47,480.0,0.7396635331551645,0.00021010259735610045,0.00016380329132080083,6.338037490844726e-05,8.436965942382841e-06,
146,5.0,4.8,48,485.0,0.6320708771902068,0.00020378649238369807,0.00016439585685729975,6.384174346923827e-05,-2.0978641510009883e-05,
147,10.0,4.8,48,490.0,0.7396635331551645,0.00021010259735610045,0.00016380329132080083,6.338184356689453e-05,-8.436965942382841e-06,
149,5.0,4.9,49,495.0,0.6320708771902068,0.00020378649238369807,0.00016439723968505863,6.384174346923827e-05,2.0981025695800733e-05,
150,0.0,4.9,49,500.0,0.7396635331551645,0.00021010259735610045,0.00016380352973937987,6.338184356689453e-05,8.436489105224758e-06,
152,5.0,5.0,50,505.0,0.6320708771902068,0.00020378649238369807,0.00016439723968505863,6.384174346923827e-05,-2.0981025695800733e-05,
153,10.0,5.0,50,510.0,0.7396635331551645,0.00021010259735610045,0.00016380352973937987,6.338184356689453e-05,-8.436489105224758e-06,
155,5.0,5.1,51,515.0,0.6320708771902068,0.00020378649238369807,0.00016439723968505863,6.384349822998047e-05,2.0981025695800733e-05,
156,0.0,5.1,51,520.0,0.7396635331551645,0.00021010259735610045,0.0001638042449951171,6.338184356689453e-05,8.437919616699225e-06,
158,5.0,5.2,52,525.0,0.6320708771902068,0.00020378649238369807,0.00016439723968505863,6.384349822998047e-05,-2.0981025695800733e-05,
159,10.0,5.2,52,530.0,0.7396635331551645,0.00021010259735610045,0.0001638042449951171,6.338184356689453e-05,-8.437919616699225e-06,
161,5.0,5.3,53,535.0,0.6320708771902068,0.00020378649238369807,0.00016439723968505863,6.384403228759764e-05,2.0981025695800733e-05,
162,0.0,5.3,53,540.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338184356689453e-05,8.438682556152375e-06,
164,5.0,5.4,54,545.0,0.6320708771902068,0.00020378649238369807,0.00016439790725708006,6.384403228759764e-05,-2.0982360839843584e-05,
165,10.0,5.4,54,550.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338184356689453e-05,-8.438682556152375e-06,
167,5.0,5.5,55,555.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,2.098369598388665e-05,
168,0.0,5.5,55,560.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338184356689453e-05,8.438682556152375e-06,
170,5.0,5.6,56,565.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,-2.098369598388665e-05,
171,10.0,5.6,56,570.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338184356689453e-05,-8.438682556152375e-06,
173,5.0,5.7,57,575.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,2.098369598388665e-05,
174,0.0,5.7,57,580.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338254928588865e-05,8.438682556152375e-06,
176,5.0,5.8,58,585.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,-2.098369598388665e-05,
177,10.0,5.8,58,590.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338254928588865e-05,-8.438682556152375e-06,
179,5.0,5.9,59,595.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,2.098369598388665e-05,
180,0.0,5.9,59,600.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338254928588865e-05,8.438682556152375e-06,
182,5.0,6.0,60,605.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,-2.098369598388665e-05,
183,10.0,6.0,60,610.0,0.7396635331551645,0.00021010259735610045,0.00016380462646484368,6.338254928588865e-05,-8.438682556152375e-06,
185,5.0,6.1,61,615.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,2.098369598388665e-05,
186,0.0,6.1,61,620.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
188,5.0,6.2,62,625.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,-2.098369598388665e-05,
189,10.0,6.2,62,630.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
191,5.0,6.3,63,635.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,2.098369598388665e-05,
192,0.0,6.3,63,640.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
194,5.0,6.4,64,645.0,0.6320708771902068,0.00020378649238369807,0.0001643985748291016,6.384403228759764e-05,-2.098369598388665e-05,
195,10.0,6.4,64,650.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
197,5.0,6.5,65,655.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
198,0.0,6.5,65,660.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
200,5.0,6.6,66,665.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
201,10.0,6.6,66,670.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
203,5.0,6.7,67,675.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
204,0.0,6.7,67,680.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
206,5.0,6.8,68,685.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
207,10.0,6.8,68,690.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
209,5.0,6.9,69,695.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
210,0.0,6.9,69,700.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
212,5.0,7.0,70,705.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
213,10.0,7.0,70,710.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
215,5.0,7.1,71,715.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
216,0.0,7.1,71,720.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
218,5.0,7.2,72,725.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
219,10.0,7.2,72,730.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
221,5.0,7.3,73,735.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
222,0.0,7.3,73,740.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
224,5.0,7.4,74,745.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
225,10.0,7.4,74,750.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,-8.436965942382841e-06,
227,5.0,7.5,75,755.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
228,0.0,7.5,75,760.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338254928588865e-05,8.436965942382841e-06,
230,5.0,7.6,76,765.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
231,10.0,7.6,76,770.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
233,5.0,7.7,77,775.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
234,0.0,7.7,77,780.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,8.436965942382841e-06,
236,5.0,7.8,78,785.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
237,10.0,7.8,78,790.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
239,5.0,7.9,79,795.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
240,0.0,7.9,79,800.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,8.436965942382841e-06,
242,5.0,8.0,80,805.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
243,10.0,8.0,80,810.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
245,5.0,8.1,81,815.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,2.0981407165527417e-05,
246,0.0,8.1,81,820.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,8.436965942382841e-06,
248,5.0,8.2,82,825.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384403228759764e-05,-2.0981407165527417e-05,
249,10.0,8.2,82,830.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
251,5.0,8.3,83,835.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384578704833984e-05,2.0981407165527417e-05,
252,0.0,8.3,83,840.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,8.436965942382841e-06,
254,5.0,8.4,84,845.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384578704833984e-05,-2.0981407165527417e-05,
255,10.0,8.4,84,850.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
257,5.0,8.5,85,855.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384578704833984e-05,2.0981407165527417e-05,
258,0.0,8.5,85,860.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,8.436965942382841e-06,
260,5.0,8.6,86,865.0,0.6320708771902068,0.00020378649238369807,0.0001643997192382812,6.384578704833984e-05,-2.0981407165527417e-05,
261,10.0,8.6,86,870.0,0.7396635331551645,0.00021010259735610045,0.00016380548477172845,6.338401794433592e-05,-8.436965942382841e-06,
