idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
276,0.0,9.1,91,920.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
278,5.0,9.2,92,925.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
279,10.0,9.2,92,930.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
281,5.0,9.3,93,935.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,1.6090965270996018e-05,
282,0.0,9.3,93,940.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
284,5.0,9.4,94,945.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
285,10.0,9.4,94,950.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
287,5.0,9.5,95,955.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,1.6090965270996018e-05,
288,0.0,9.5,95,960.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
290,5.0,9.6,96,965.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
291,10.0,9.6,96,970.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
293,5.0,9.7,97,975.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,1.6090965270996018e-05,
294,0.0,9.7,97,980.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
296,5.0,9.8,98,985.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
297,10.0,9.8,98,990.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
299,5.0,9.9,99,995.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,1.6090965270996018e-05,
300,0.0,9.9,99,1000.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,6.905937194824109e-06,
302,5.0,10.0,100,1005.0,1.0,0.0002,0.00018861913681030267,0.00010031134605407714,-1.6090965270996018e-05,
303,10.0,10.0,100,1010.0,1.0,0.0002,0.00017656869888305667,9.06216049194336e-05,-6.905937194824109e-06,
