idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
104,5.0,3.4,34,345.0,1.0,0.0002,0.0001941453456878662,0.00011208548545837402,-2.695207595825185e-05,
105,10.0,3.4,34,350.0,1.0,0.0002,0.00017918877601623537,9.445444107055663e-05,-9.999179840088036e-06,
107,5.0,3.5,35,355.0,1.0,0.0002,0.00019415955543518055,0.00011210390090942381,2.697420120239256e-05,
108,0.0,3.5,35,360.0,1.0,0.0002,0.00017919216156005852,9.446404457092285e-05,1.0002708435058504e-05,
110,5.0,3.6,36,365.0,1.0,0.0002,0.0001941741943359375,0.00011211934089660645,-2.6997184753418035e-05,
111,10.0,3.6,36,370.0,1.0,0.0002,0.0001791946411132812,9.447080612182617e-05,-1.0004425048828038e-05,
113,5.0,3.7,37,375.0,1.0,0.0002,0.00019418559074401852,0.00011213479042053223,2.7015018463134692e-05,
114,0.0,3.7,37,380.0,1.0,0.0002,0.0001791977405548096,9.448010444641113e-05,1.0007381439209023e-05,
116,5.0,3.8,38,385.0,1.0,0.0002,0.00019419460296630857,0.0001121450614929199,-2.7028846740722798e-05,
117,10.0,3.8,38,390.0,1.0,0.0002,0.0001792002201080323,9.448653221130369e-05,-1.0009098052978557e-05,
119,5.0,3.9,39,395.0,1.0,0.0002,0.0001942030429840087,0.00011215532302856444,2.7042484283447236e-05,
120,0.0,3.9,39,400.0,1.0,0.0002,0.00017920188903808591,9.449007034301757e-05,1.0009193420409956e-05,
122,5.0,4.0,40,405.0,1.0,0.0002,0.00019421138763427734,0.00011216562271118165,-2.7056121826171892e-05,
123,10.0,4.0,40,410.0,1.0,0.0002,0.0001792033195495606,9.449616432189941e-05,-1.0012054443359324e-05,
125,5.0,4.1,41,415.0,1.0,0.0002,0.00019421725273132328,0.00011217077255249022,2.706480026245118e-05,
126,0.0,4.1,41,420.0,1.0,0.0002,0.00017920498847961422,9.449966430664063e-05,1.0012149810791158e-05,
128,5.0,4.2,42,425.0,1.0,0.0002,0.00019422264099121093,0.00011217816352844238,-2.70742416381834e-05,
129,10.0,4.2,42,430.0,1.0,0.0002,0.00017920584678649898,9.45028781890869e-05,-1.0013866424560692e-05,
131,5.0,4.3,43,435.0,1.0,0.0002,0.0001942260265350342,0.00011218332290649413,2.707910537719715e-05,
132,0.0,4.3,43,440.0,1.0,0.0002,0.00017920708656311032,9.450608253479004e-05,1.0014820098877076e-05,
134,5.0,4.4,44,445.0,1.0,0.0002,0.0001942292690277099,0.00011218847274780273,-2.7084445953369203e-05,
135,10.0,4.4,44,450.0,1.0,0.0002,0.00017920832633972167,9.450898170471192e-05,-1.0015583038330226e-05,
137,5.0,4.5,45,455.0,1.0,0.0002,0.00019423470497131347,0.0001121913719177246,2.7092266082763723e-05,
138,0.0,4.5,45,460.0,1.0,0.0002,0.00017920861244201652,9.450929641723632e-05,1.0016155242919926e-05,
140,5.0,4.6,46,465.0,1.0,0.0002,0.00019423723220825197,0.0001121965217590332,-2.709732055664071e-05,
141,10.0,4.6,46,470.0,1.0,0.0002,0.000179209566116333,9.451250076293944e-05,-1.001653671264661e-05,
143,5.0,4.7,47,475.0,1.0,0.0002,0.00019424023628234865,0.00011219878196716307,2.710142135620131e-05,
144,0.0,4.7,47,480.0,1.0,0.0002,0.000179209566116333,9.451539993286131e-05,1.001653671264661e-05,
146,5.0,4.8,48,485.0,1.0,0.0002,0.00019424095153808588,0.00011220167160034178,-2.710151672363271e-05,
147,10.0,4.8,48,490.0,1.0,0.0002,0.00017921042442321778,9.451571464538574e-05,-1.0018253326416144e-05,
149,5.0,4.9,49,495.0,1.0,0.0002,0.00019424352645874019,0.00011220391273498534,2.7106666564941312e-05,
150,0.0,4.9,49,500.0,1.0,0.0002,0.00017921085357666016,9.451571464538574e-05,1.0017395019531377e-05,
152,5.0,5.0,50,505.0,1.0,0.0002,0.0001942456245422363,0.00011220679283142088,-2.711086273193353e-05,
153,10.0,5.0,50,510.0,1.0,0.0002,0.00017921142578124997,9.451861381530762e-05,-1.0018539428710994e-05,
155,5.0,5.1,51,515.0,1.0,0.0002,0.00019424653053283687,0.00011220679283142088,2.7110767364501914e-05,
156,0.0,5.1,51,520.0,1.0,0.0002,0.00017921171188354493,9.451891899108885e-05,1.001911163330091e-05,
158,5.0,5.2,52,525.0,1.0,0.0002,0.00019424934387207032,0.00011220906257629394,-2.7115249633788982e-05,
159,10.0,5.2,52,530.0,1.0,0.0002,0.00017921171188354493,9.451891899108885e-05,-1.001911163330091e-05,
161,5.0,5.3,53,535.0,1.0,0.0002,0.00019424934387207032,0.00011221194267272948,2.7115249633788982e-05,
162,0.0,5.3,53,540.0,1.0,0.0002,0.0001792120933532715,9.451891899108885e-05,1.001834869384776e-05,
164,5.0,5.4,54,545.0,1.0,0.0002,0.00019424934387207032,0.00011221194267272948,-2.7115249633788982e-05,
165,10.0,5.4,54,550.0,1.0,0.0002,0.0001792120933532715,9.45218276977539e-05,-1.001834869384776e-05,
167,5.0,5.5,55,555.0,1.0,0.0002,0.00019425187110900881,0.00011221194267272948,2.7120304107665968e-05,
168,0.0,5.5,55,560.0,1.0,0.0002,0.0001792126655578613,9.45218276977539e-05,1.0019493103027377e-05,
170,5.0,5.6,56,565.0,1.0,0.0002,0.00019425187110900881,0.00011221422195434568,-2.7120304107665968e-05,
171,10.0,5.6,56,570.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,-1.0020065307617294e-05,
173,5.0,5.7,57,575.0,1.0,0.0002,0.00019425187110900881,0.00011221422195434568,2.7120304107665968e-05,
174,0.0,5.7,57,580.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,1.0020065307617294e-05,
176,5.0,5.8,58,585.0,1.0,0.0002,0.00019425187110900881,0.00011221422195434568,-2.7120304107665968e-05,
177,10.0,5.8,58,590.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,-1.0020065307617294e-05,
179,5.0,5.9,59,595.0,1.0,0.0002,0.0001942523002624512,0.00011221708297729492,2.7121162414550735e-05,
180,0.0,5.9,59,600.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,1.0020065307617294e-05,
182,5.0,6.0,60,605.0,1.0,0.0002,0.0001942523002624512,0.00011221708297729492,-2.7121162414550735e-05,
183,10.0,6.0,60,610.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,-1.0020065307617294e-05,
185,5.0,6.1,61,615.0,1.0,0.0002,0.0001942543983459473,0.00011221708297729492,2.7125358581542953e-05,
186,0.0,6.1,61,620.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,1.0020065307617294e-05,
188,5.0,6.2,62,625.0,1.0,0.0002,0.0001942543983459473,0.00011221708297729492,-2.7125358581542953e-05,
189,10.0,6.2,62,630.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,-1.0020065307617294e-05,
191,5.0,6.3,63,635.0,1.0,0.0002,0.00019425468444824216,0.00011221708297729492,2.7124786376953253e-05,
192,0.0,6.3,63,640.0,1.0,0.0002,0.00017921295166015627,9.452213287353516e-05,1.0020065307617294e-05,
194,5.0,6.4,64,645.0,1.0,0.0002,0.00019425516128540035,0.00011221708297729492,-2.712383270263687e-05,
