idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
39,9.30718,1.2,12,120.99333999999999,1.0,0.0002,0.00017791624069213871,8.711166381835937e-05,-7.224845886230104e-06,
41,4.249445,1.3,13,125.99333999999999,1.0,0.0002,0.0001853639602661134,9.303085327148436e-05,1.2488174438476853e-05,
42,0.750555,1.3,13,129.49222999999998,1.0,0.0002,0.00017824134826660174,8.774736404418943e-05,7.473373413086071e-06,
44,5.8082899999999995,1.4,14,134.49222999999998,1.0,0.0002,0.00018565483093261714,9.355958938598631e-05,-1.2741851806640555e-05,
45,9.19171,1.4,14,137.87564999999998,1.0,0.0002,0.0001785363197326661,8.83323860168457e-05,-7.710838317871033e-06,
47,4.1339749999999995,1.5,15,142.87564999999998,1.0,0.0002,0.00018591451644897465,9.402803421020508e-05,1.2978553771972583e-05,
48,0.866025,1.5,15,146.1436,1.0,0.0002,0.00017880754470825204,8.88774299621582e-05,7.933998107910456e-06,
50,5.92376,1.6,16,151.1436,1.0,0.0002,0.00018614597320556646,9.444585800170898e-05,-1.3199615478515572e-05,
51,9.07624,1.6,16,154.29608,1.0,0.0002,0.00017905740737915042,8.937892913818358e-05,-8.150672912597776e-06,
53,4.018504999999999,1.7,17,159.29608,1.0,0.0002,0.00018635559082031262,9.482247352600096e-05,1.3407516479492423e-05,
54,0.981495,1.7,17,162.33309,1.0,0.0002,0.00017929134368896492,8.98457908630371e-05,8.356857299804659e-06,
56,6.03923,1.8,18,167.33309,1.0,0.0002,0.00018654489517211923,9.517426490783691e-05,-1.3603401184082101e-05,
57,8.96077,1.8,18,170.25463,1.0,0.0002,0.00017950906753540045,9.029981613159179e-05,-8.556556701660306e-06,
59,3.903034000000001,1.9,19,175.25463,1.0,0.0002,0.0001867175102233888,9.549262046813965e-05,1.3792991638183778e-05,
60,1.096966,1.9,19,178.060698,1.0,0.0002,0.0001797150611877441,9.073548316955565e-05,8.753013610840119e-06,
62,6.154701,2.0,20,183.060698,1.0,0.0002,0.00018687620162963887,9.578700065612791e-05,-1.3974189758300583e-05,
