idx,x,y,line,s_mm,pmod,sigma,w,d,asym,clipped
39,9.30718,1.2,12,120.99333999999999,1.0,0.0002,0.00018352108001709003,9.556855201721192e-05,-1.4419555664062396e-05,
41,4.249445,1.3,13,125.99333999999999,1.0,0.0002,0.00019444503784179687,0.0001113279628753662,2.9004669189453425e-05,
42,0.750555,1.3,13,129.49222999999998,1.0,0.0002,0.00018392705917358396,9.638611793518065e-05,1.4912986755371595e-05,
44,5.8082899999999995,1.4,14,134.49222999999998,1.0,0.0002,0.0001956222534179688,0.00011224437713623045,-3.1197738647461074e-05,
45,9.19171,1.4,14,137.87564999999998,1.0,0.0002,0.00018430070877075203,9.710996627807617e-05,-1.5395164489745688e-05,
47,4.1339749999999995,1.5,15,142.87564999999998,1.0,0.0002,0.0001972847938537599,0.00011304143905639647,3.440189361572296e-05,
48,0.866025,1.5,15,146.1436,1.0,0.0002,0.0001846435546875001,9.779491424560547e-05,1.5850830078125138e-05,
50,5.92376,1.6,16,151.1436,1.0,0.0002,0.00019882030487060548,0.00011375921249389648,-3.7390518188476496e-05,
51,9.07624,1.6,16,154.29608,1.0,0.0002,0.00018496322631835946,9.84167194366455e-05,-1.6300582885742185e-05,
53,4.018504999999999,1.7,17,159.29608,1.0,0.0002,0.0002002382278442382,0.00011439599990844727,4.017333984375005e-05,
54,0.981495,1.7,17,162.33309,1.0,0.0002,0.00018526468276977527,9.921372413635254e-05,1.673488616943386e-05,
56,6.03923,1.8,18,167.33309,1.0,0.0002,0.000201583480834961,0.00011497865676879883,-4.2837905883788985e-05,
57,8.96077,1.8,18,170.25463,1.0,0.0002,0.00018554954528808608,0.00010001676559448242,-1.7166519165038967e-05,
59,3.903034000000001,1.9,19,175.25463,1.0,0.0002,0.00020284585952758788,0.00011550637245178223,4.535541534423813e-05,
60,1.096966,1.9,19,178.060698,1.0,0.0002,0.0001858253479003905,0.00010081870079040528,1.7594528198242206e-05,
62,6.154701,2.0,20,183.060698,1.0,0.0002,0.00020406808853149416,0.00011599349975585936,-4.781398773193342e-05,
